Exported SMaRT Impedance Data
Experiment start time : 2/9/2017 11:00:42 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Impedance Imaginary (Ohms)
133,3,11,02:53:38,100000,1,0,105.00,105.95,103.00,22.50186,1.306465,5.806029E-02,-7049.207,
134,3,12,02:53:43,79432.82,1,0,105.00,105.95,103.00,22.67355,1.426824,0.062929,-8802.06,
135,3,13,02:53:52,63095.73,1,0,105.00,105.95,103.00,22.88843,1.546272,6.755692E-02,-10970.51,
136,3,14,02:53:58,50118.72,1,0,105.00,105.95,103.00,23.10846,1.680196,7.270911E-02,-13669.71,
137,3,15,02:54:04,39810.72,1,0,105.00,105.95,103.00,23.35031,1.823781,7.810523E-02,-17017.13,
138,3,16,02:54:09,31622.78,1,0,105.00,105.95,103.00,23.62273,1.967576,8.329165E-02,-21158.63,
139,3,17,02:54:15,25118.86,1,0,105.00,105.95,103.00,23.91637,2.121909,8.872204E-02,-26285.72,
140,3,18,02:54:21,19952.62,1,0,105.00,105.95,103.00,24.23712,2.275502,0.093885,-32623.31,
141,3,19,02:54:27,15848.93,1,0,105.00,105.95,103.00,24.59111,2.427876,9.872985E-02,-40441.7,
142,3,20,02:54:33,12589.25,1,0,105.00,105.95,103.00,24.97586,2.576854,0.1031738,-50084.28,
143,3,21,02:54:39,10000,1,0,105.00,105.95,103.00,25.39119,2.715624,0.1069514,-61972.3,
144,3,22,02:54:44,7943.282,1,0,105.00,105.95,103.00,25.83844,2.841675,0.1099786,-76618.3,
145,3,23,02:54:50,6309.573,1,0,105.00,105.95,103.00,26.31199,2.948262,0.1120502,-94677.72,
146,3,24,02:54:56,5011.873,1,0,105.00,105.95,103.00,26.80636,3.032106,0.1131115,-116966.4,
147,3,25,02:55:02,3981.072,1,0,105.00,105.95,103.00,27.32419,3.079549,0.1127041,-144474.5,
148,3,26,02:55:08,3162.278,1,0,105.00,105.95,103.00,27.85745,3.097066,0.1111755,-178461.2,
149,3,27,02:55:14,2511.886,1,0,105.00,105.95,103.00,28.39281,3.071547,0.1081805,-220576.3,
150,3,28,02:55:20,1995.262,1,0,105.00,105.95,103.00,28.92193,2.996546,0.1036081,-272870.1,
151,3,29,02:55:26,1584.893,1,0,105.00,105.95,103.00,29.43499,2.891974,9.824952E-02,-337896.9,
152,3,30,02:55:32,1258.925,1,0,105.00,105.95,103.00,29.9184,2.743961,9.171483E-02,-419029.1,
153,3,31,02:55:37,1000,1,0,105.00,105.95,103.00,30.3632,2.564311,8.445458E-02,-520458.5,
154,3,32,02:55:43,794.3282,1,0,105.00,105.95,103.00,30.77101,2.357233,7.660566E-02,-647347.3,
155,3,33,02:55:49,630.9573,1,0,105.00,105.95,103.00,31.12601,2.129088,6.840219E-02,-806620.9,
156,3,34,02:55:56,501.1872,1,0,105.00,105.95,103.00,31.43109,1.904204,6.058345E-02,-1006630,
157,3,35,02:56:02,398.1072,1,0,105.00,105.95,103.00,31.68736,1.675074,5.286251E-02,-1258120,
158,3,36,02:56:08,316.2278,1,0,105.00,105.95,103.00,31.8961,1.45474,4.560873E-02,-1574636,
