PeMA-05142015, 14.5.2015, 9:29
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq.[Hz]	 Temp.[°C]	 Eps'   	 Eps''  
 1.0000e+03	 1.1500e+02	 3.9867e+00	 7.4150e-02
 7.1969e+02	 1.1500e+02	 3.9887e+00	 8.7369e-02
 5.1795e+02	 1.1500e+02	 3.9904e+00	 1.0962e-01
 3.7276e+02	 1.1500e+02	 3.9918e+00	 1.4315e-01
 2.6827e+02	 1.1500e+02	 3.9933e+00	 1.9176e-01
 1.9307e+02	 1.1500e+02	 3.9951e+00	 2.6077e-01
 1.3895e+02	 1.1500e+02	 3.9979e+00	 3.5741e-01
 1.0000e+02	 1.1500e+02	 4.0019e+00	 4.9183e-01
 7.1969e+01	 1.1500e+02	 4.0087e+00	 6.7867e-01
 5.1795e+01	 1.1500e+02	 4.0200e+00	 9.3799e-01
 3.7276e+01	 1.1500e+02	 4.0396e+00	 1.2955e+00
 2.6827e+01	 1.1500e+02	 4.0735e+00	 1.7851e+00
 1.9307e+01	 1.1500e+02	 4.1283e+00	 2.4529e+00
 1.3895e+01	 1.1500e+02	 4.2094e+00	 3.3548e+00
 1.0000e+01	 1.1500e+02	 4.3287e+00	 4.5738e+00
 7.1969e+00	 1.1500e+02	 4.4887e+00	 6.2255e+00
 5.1795e+00	 1.1500e+02	 4.6770e+00	 8.4483e+00
 3.7276e+00	 1.1500e+02	 4.8834e+00	 1.1466e+01
 2.6827e+00	 1.1500e+02	 5.1016e+00	 1.5621e+01
 1.9307e+00	 1.1500e+02	 5.3002e+00	 2.1349e+01
 1.3895e+00	 1.1500e+02	 5.4693e+00	 2.9274e+01
 1.0000e+00	 1.1500e+02	 5.6174e+00	 4.0293e+01
 7.1969e-01	 1.1500e+02	 5.7448e+00	 5.5616e+01
 5.1795e-01	 1.1500e+02	 5.8672e+00	 7.6882e+01
 3.7276e-01	 1.1500e+02	 6.0140e+00	 1.0652e+02
 2.6827e-01	 1.1500e+02	 6.1829e+00	 1.4766e+02
 1.9307e-01	 1.1500e+02	 6.4421e+00	 2.0440e+02
 1.3895e-01	 1.1500e+02	 6.8242e+00	 2.8262e+02
 1.0000e-01	 1.1500e+02	 7.4041e+00	 3.9187e+02
 7.1969e-02	 1.1500e+02	 8.2958e+00	 5.4262e+02
 5.1795e-02	 1.1500e+02	 9.6048e+00	 7.5096e+02
 3.7276e-02	 1.1500e+02	 1.1268e+01	 1.0385e+03
 2.6827e-02	 1.1500e+02	 1.3694e+01	 1.4361e+03
 1.0000e+07	 1.1000e+02	 2.4273e+00	 3.8408e-02
 7.1969e+06	 1.1000e+02	 2.4448e+00	 1.3094e-01
 5.1795e+06	 1.1000e+02	 2.4532e+00	 1.5638e-01
 3.7276e+06	 1.1000e+02	 2.4808e+00	 1.7653e-01
 2.6827e+06	 1.1000e+02	 2.5100e+00	 2.0671e-01
 1.9307e+06	 1.1000e+02	 2.5506e+00	 2.3794e-01
 1.3895e+06	 1.1000e+02	 2.6023e+00	 2.6685e-01
 1.0000e+06	 1.1000e+02	 2.6559e+00	 3.0058e-01
 7.1969e+05	 1.1000e+02	 2.7233e+00	 3.4319e-01
 5.1795e+05	 1.1000e+02	 2.7987e+00	 3.7548e-01
 3.7276e+05	 1.1000e+02	 2.8842e+00	 4.0683e-01
 2.6827e+05	 1.1000e+02	 2.9792e+00	 4.3480e-01
 1.9307e+05	 1.1000e+02	 3.0835e+00	 4.5689e-01
 1.3895e+05	 1.1000e+02	 3.1950e+00	 4.7045e-01
 1.0000e+05	 1.1000e+02	 3.3110e+00	 4.7293e-01
 7.1969e+04	 1.1000e+02	 3.4274e+00	 4.6242e-01
 5.1795e+04	 1.1000e+02	 3.5391e+00	 4.3882e-01
 3.7276e+04	 1.1000e+02	 3.6421e+00	 4.0351e-01
 2.6827e+04	 1.1000e+02	 3.7312e+00	 3.5975e-01
 1.9307e+04	 1.1000e+02	 3.8050e+00	 3.1177e-01
 1.3895e+04	 1.1000e+02	 3.8638e+00	 2.6350e-01
 1.0000e+04	 1.1000e+02	 3.9088e+00	 2.1837e-01
 7.1969e+03	 1.1000e+02	 3.9424e+00	 1.7863e-01
 5.1795e+03	 1.1000e+02	 3.9671e+00	 1.4537e-01
 3.7276e+03	 1.1000e+02	 3.9852e+00	 1.1848e-01
 2.6827e+03	 1.1000e+02	 3.9978e+00	 9.7993e-02
 1.9307e+03	 1.1000e+02	 4.0070e+00	 8.3434e-02
 1.3895e+03	 1.1000e+02	 4.0134e+00	 7.4665e-02
 1.0000e+03	 1.1000e+02	 4.0182e+00	 7.1519e-02
 7.1969e+02	 1.1000e+02	 4.0221e+00	 7.4476e-02
 5.1795e+02	 1.1000e+02	 4.0248e+00	 8.3968e-02
 3.7276e+02	 1.1000e+02	 4.0272e+00	 1.0154e-01
 2.6827e+02	 1.1000e+02	 4.0290e+00	 1.2934e-01
 1.9307e+02	 1.1000e+02	 4.0308e+00	 1.7049e-01
 1.3895e+02	 1.1000e+02	 4.0330e+00	 2.2956e-01
 1.0000e+02	 1.1000e+02	 4.0353e+00	 3.1282e-01
 7.1969e+01	 1.1000e+02	 4.0389e+00	 4.2959e-01
 5.1795e+01	 1.1000e+02	 4.0444e+00	 5.9198e-01
 3.7276e+01	 1.1000e+02	 4.0538e+00	 8.1714e-01
