total # of peaks = 2

From low frequency, the #1 peak

Data fit to <HN_loss> functional form

xData (#.=15)
[[0.226752],[0.369609],[0.512468],[0.655326],[0.798180],[0.941039],[1.083893],[1.226752],[1.369609],[1.512468],[1.655326],[1.798180],[1.941039],[2.083893],[2.226752]]

yData (#.=15)
[-0.040298,0.010726,0.062910,0.089677,0.073987,0.023691,-0.063809,-0.169722,-0.349168,-0.533894,-0.733529,-0.962342,-1.204677,-1.435824,-1.637739]

stop condition:
intial coeffs = 1 0.5 0.5 -8 
scale  = 1 0.5 0.5 -8 
bndl   = 0 0 0 -20 
bndu   = 10 1 1 20 
epsf   = 0
epsx   = 1e-10
maxits = 100000

Operating Mode: F

fit info 2
(relative step is no more than EpsX.)

internal iterations = 30
0.992466 0.194286 -0.00529236 -0.609705 -1.38689
1.00104 0.202858 -0.0105669 -0.620721 -1.18345
1.00961 0.211429 -0.0159283 -0.629993 -0.979999
1.01818 0.220001 -0.0213618 -0.637521 -0.776553
1.02675 0.228572 -0.0268523 -0.643305 -0.573107
1.03532 0.237143 -0.0323849 -0.647346 -0.369661
1.04389 0.245715 -0.0379446 -0.649642 -0.166215
1.05247 0.254286 -0.0435166 -0.650195 0.0372307
1.06104 0.262858 -0.0490858 -0.649004 0.240677
1.06961 0.271429 -0.0546374 -0.646069 0.444123
1.07818 0.280001 -0.0601563 -0.64139 0.647569
1.08675 0.288572 -0.065628 -0.635257 0.648665
1.09532 0.297143 -0.0710541 -0.631425 0.24543
1.10389 0.305715 -0.0764623 -0.63105 -0.157805
1.11247 0.314286 -0.081882 -0.634131 -0.561041
1.12104 0.322858 -0.0873429 -0.640668 -0.964276
1.12961 0.331429 -0.0928747 -0.650661 -1.36751
1.13818 0.340001 -0.098507 -0.664111 -1.77075
1.14675 0.348572 -0.104269 -0.681017 -2.17398
1.15532 0.357143 -0.110191 -0.701379 -2.57722
1.16389 0.365715 -0.116303 -0.725197 -2.98045
1.17247 0.374286 -0.122633 -0.752472 -3.38369
1.18104 0.382858 -0.129212 -0.783204 -3.78692
1.18961 0.391429 -0.13607 -0.817391 -4.19016
1.19818 0.400001 -0.143235 -0.855035 -4.59339
1.20675 0.408572 -0.150737 -0.896135 -4.99663
1.21532 0.417143 -0.158607 -0.940691 -5.39986
1.22389 0.425715 -0.166873 -0.988704 -5.8031
1.23247 0.434286 -0.175563 -1.03857 -5.64611
1.24104 0.442858 -0.184667 -1.08509 -5.20898
1.24961 0.451429 -0.194154 -1.12787 -4.77186
1.25818 0.460001 -0.203991 -1.1669 -4.33473
1.26675 0.468572 -0.214147 -1.20218 -3.89761
1.27532 0.477143 -0.224589 -1.23371 -3.46049
1.28389 0.485715 -0.235286 -1.2615 -3.02336
1.29247 0.494286 -0.246204 -1.28554 -2.58624
1.30104 0.502858 -0.257313 -1.30584 -2.14911
1.30961 0.511429 -0.268579 -1.32238 -1.71199
1.31818 0.520001 -0.279972 -1.33519 -1.27486
1.32675 0.528572 -0.291457 -1.34424 -0.83774
1.33532 0.537143 -0.303005 -1.34955 -0.400616
1.34389 0.545715 -0.314582 -1.35111 0.0365082
1.35247 0.554286 -0.326156 -1.34892 0.473632
1.36104 0.562858 -0.337695 -1.34299 0.910757
1.36961 0.571429 -0.349168 -1.33331 1.34788
1.37818 0.580001 -0.360549 -1.32236 1.20667
1.38675 0.588572 -0.37184 -1.31262 1.06547
1.39532 0.597143 -0.383054 -1.30409 0.924261
1.40389 0.605715 -0.3942 -1.29678 0.783054
1.41247 0.614286 -0.405288 -1.29067 0.641848
1.42104 0.622858 -0.416329 -1.28577 0.500641
1.42961 0.631429 -0.427333 -1.28209 0.359435
1.43818 0.640001 -0.438311 -1.27961 0.218228
1.44675 0.648572 -0.449273 -1.27835 0.0770217
1.45532 0.657143 -0.460229 -1.27829 -0.0641849
1.46389 0.665715 -0.47119 -1.27945 -0.205391
1.47247 0.674286 -0.482166 -1.28181 -0.346598
1.48104 0.682858 -0.493167 -1.28539 -0.487804
1.48961 0.691429 -0.504205 -1.29018 -0.629011
1.49818 0.700001 -0.515288 -1.29617 -0.770217
1.50675 0.708572 -0.526428 -1.30338 -0.911424
1.51532 0.717143 -0.537635 -1.31175 -1.01965
1.52389 0.725715 -0.548917 -1.32067 -1.06186
1.53247 0.734286 -0.560276 -1.32995 -1.10407
1.54104 0.742858 -0.571717 -1.3396 -1.14628
1.54961 0.751429 -0.583242 -1.3496 -1.18849
1.55818 0.76 -0.594854 -1.35997 -1.2307
1.56675 0.768572 -0.606557 -1.3707 -1.27291
1.57532 0.777143 -0.618353 -1.38179 -1.31512
1.58389 0.785715 -0.630246 -1.39325 -1.35733
1.59247 0.794286 -0.642238 -1.40506 -1.39953
1.60104 0.802858 -0.654333 -1.41724 -1.44174
1.60961 0.811429 -0.666535 -1.42978 -1.48395
1.61818 0.82 -0.678845 -1.44268 -1.52616
1.62675 0.828572 -0.691267 -1.45594 -1.56837
1.63532 0.837143 -0.703805 -1.46956 -1.61058
1.64389 0.845715 -0.716461 -1.48355 -1.65279
1.65247 0.854286 -0.729238 -1.4979 -1.695
1.66104 0.862858 -0.74214 -1.51242 -1.67027
1.66961 0.871429 -0.755164 -1.52648 -1.61202
1.67818 0.88 -0.768307 -1.54005 -1.55377
1.68675 0.888572 -0.781563 -1.55312 -1.49553
1.69532 0.897143 -0.79493 -1.56569 -1.43728
1.70389 0.905715 -0.808402 -1.57776 -1.37903
1.71247 0.914286 -0.821976 -1.58933 -1.32078
1.72104 0.922858 -0.835647 -1.6004 -1.26254
1.72961 0.931429 -0.84941 -1.61097 -1.20429
1.73818 0.94 -0.863262 -1.62104 -1.14604
1.74675 0.948572 -0.877198 -1.63062 -1.0878
1.75532 0.957143 -0.891214 -1.63969 -1.02955
1.76389 0.965715 -0.905305 -1.64827 -0.971301
1.77247 0.974286 -0.919468 -1.65634 -0.913054
1.78104 0.982858 -0.933698 -1.66392 -0.854807
1.78961 0.991429 -0.947991 -1.671 -0.796559
1.79818 1 -0.962343 -1.67758 -0.738311
1.80675 1.00857 -0.976748 -1.68354 -0.65266
1.81532 1.01714 -0.991201 -1.68876 -0.567009
1.82389 1.02571 -1.0057 -1.69326 -0.481358
1.83247 1.03429 -1.02023 -1.69702 -0.395707
1.84104 1.04286 -1.03479 -1.70004 -0.310056
1.84961 1.05143 -1.04937 -1.70233 -0.224405
1.85818 1.06 -1.06397 -1.70389 -0.138754
1.86675 1.06857 -1.07858 -1.70471 -0.0531036
1.87532 1.07714 -1.09319 -1.7048 0.0325473
1.88389 1.08571 -1.1078 -1.70415 0.118198
1.89247 1.09429 -1.1224 -1.70277 0.203849
1.90104 1.10286 -1.13699 -1.70066 0.2895
1.90961 1.11143 -1.15155 -1.69781 0.375151
1.91818 1.12 -1.16609 -1.69423 0.460802
1.92675 1.12857 -1.18059 -1.68991 0.546453
1.93532 1.13714 -1.19506 -1.68486 0.632104
1.94389 1.14571 -1.20947 -1.6791 0.700796
1.95247 1.15429 -1.22384 -1.67294 0.735544
1.96104 1.16286 -1.23815 -1.66649 0.770292
1.96961 1.17143 -1.25241 -1.65974 0.80504
