Raw Data                               
log.afreq  log.sfreq  log.loss  storage
=======================================
-0.773248 -1.57143 -0.643019 2.72
1.96961 1.17143 -0.851117 -0.0804553 -0.138184
1.97818 1.18 -0.851812 -0.0816411 -0.138511
1.98675 1.18857 -0.852517 -0.0828298 -0.138838
1.99532 1.19714 -0.853232 -0.0840212 -0.139165
2.00389 1.20571 -0.853957 -0.0852155 -0.139492
2.01247 1.21429 -0.854693 -0.0864125 -0.139818
2.02104 1.22286 -0.855439 -0.0876123 -0.140145
2.02961 1.23143 -0.856195 -0.088815 -0.140472
2.03818 1.24 -0.856961 -0.0900204 -0.140799
2.04675 1.24857 -0.857738 -0.0912287 -0.141125
2.05532 1.25714 -0.858525 -0.0924397 -0.141452
2.06389 1.26571 -0.859323 -0.0936536 -0.141779
2.07247 1.27429 -0.860131 -0.0948702 -0.142106
2.08104 1.28286 -0.860949 -0.0960897 -0.142432
2.08961 1.29143 -0.861778 -0.0973084 -0.141519
2.09818 1.3 -0.862617 -0.0985148 -0.139985
2.10675 1.30857 -0.863467 -0.0997081 -0.138452
2.11532 1.31714 -0.864326 -0.100888 -0.136918
2.12389 1.32571 -0.865196 -0.102055 -0.135384
2.13247 1.33429 -0.866076 -0.103209 -0.133851
2.14104 1.34286 -0.866965 -0.10435 -0.132317
2.14961 1.35143 -0.867865 -0.105477 -0.130784
2.15818 1.36 -0.868774 -0.106592 -0.12925
2.16675 1.36857 -0.869692 -0.107693 -0.127717
2.17532 1.37714 -0.87062 -0.108781 -0.126183
2.18389 1.38571 -0.871557 -0.109856 -0.124649
2.19247 1.39429 -0.872503 -0.110918 -0.123116
2.20104 1.40286 -0.873458 -0.111967 -0.121582
2.20961 1.41143 -0.874422 -0.113002 -0.120049
2.21818 1.42 -0.875395 -0.114025 -0.118515
2.22675 1.42857 -0.876377 -0.115034 -0.116982
2.23532 1.43714 -0.877367 -0.116043 -0.118338
2.24389 1.44571 -0.878366 -0.117063 -0.119694
2.25247 1.45429 -0.879374 -0.118095 -0.12105
2.26104 1.46286 -0.880391 -0.119138 -0.122406
2.26961 1.47143 -0.881417 -0.120193 -0.123763
2.27818 1.48 -0.882451 -0.12126 -0.125119
2.28675 1.48857 -0.883495 -0.122338 -0.126475
2.29532 1.49714 -0.884549 -0.123428 -0.127831
2.30389 1.50571 -0.885611 -0.124529 -0.129187
2.31247 1.51429 -0.886683 -0.125642 -0.130544
2.32104 1.52286 -0.887765 -0.126767 -0.1319
2.32961 1.53143 -0.888857 -0.127903 -0.133256
2.33818 1.54 -0.889958 -0.129051 -0.134612
2.34675 1.54857 -0.891069 -0.130211 -0.135968
2.35532 1.55714 -0.89219 -0.131382 -0.137325
2.36389 1.56571 -0.893321 -0.132565 -0.138681
2.37247 1.57429 -0.894463 -0.133759 -0.139849
2.38104 1.58286 -0.895614 -0.134962 -0.140641
2.38961 1.59143 -0.896776 -0.13617 -0.141433
2.39818 1.6 -0.897949 -0.137386 -0.142225
2.40675 1.60857 -0.899131 -0.138609 -0.143018
2.41532 1.61714 -0.900325 -0.139838 -0.14381
2.42389 1.62571 -0.901529 -0.141074 -0.144602
2.43247 1.63429 -0.902743 -0.142317 -0.145394
2.44104 1.64286 -0.903968 -0.143566 -0.146186
2.44961 1.65143 -0.905204 -0.144823 -0.146978
2.45818 1.66 -0.906451 -0.146086 -0.14777
2.46675 1.66857 -0.907709 -0.147356 -0.148563
2.47532 1.67714 -0.908977 -0.148633 -0.149355
2.48389 1.68571 -0.910257 -0.149916 -0.150147
2.49247 1.69429 -0.911547 -0.151207 -0.150939
2.50104 1.70286 -0.912849 -0.152504 -0.151731
2.50961 1.71143 -0.914162 -0.153808 -0.152523
2.51818 1.72 -0.915486 -0.155109 -0.149836
2.52675 1.72857 -0.916821 -0.156374 -0.145406
2.53532 1.73714 -0.918166 -0.157601 -0.140977
2.54389 1.74571 -0.919522 -0.158791 -0.136547
2.55247 1.75429 -0.920888 -0.159942 -0.132117
2.56104 1.76286 -0.922264 -0.161056 -0.127688
2.56961 1.77143 -0.923649 -0.162131 -0.123258
2.57818 1.78 -0.925043 -0.163169 -0.118829
2.58675 1.78857 -0.926446 -0.164168 -0.114399
2.59532 1.79714 -0.927857 -0.16513 -0.10997
2.60389 1.80571 -0.929277 -0.166053 -0.10554
2.61247 1.81429 -0.930704 -0.166939 -0.101111
2.62104 1.82286 -0.932138 -0.167787 -0.0966813
2.62961 1.83143 -0.93358 -0.168596 -0.0922518
2.63818 1.84 -0.935029 -0.169368 -0.0878223
2.64675 1.84857 -0.936484 -0.170102 -0.0833928
2.65532 1.85714 -0.937945 -0.170798 -0.0789632
2.66389 1.86571 -0.939411 -0.171491 -0.0828616
2.67247 1.87429 -0.940884 -0.172218 -0.0867626
2.68104 1.88286 -0.942364 -0.172979 -0.0906637
2.68961 1.89143 -0.94385 -0.173772 -0.0945647
2.69818 1.9 -0.945343 -0.1746 -0.0984657
2.70675 1.90857 -0.946843 -0.17546 -0.102367
2.71532 1.91714 -0.948351 -0.176355 -0.106268
2.72389 1.92571 -0.949866 -0.177282 -0.110169
2.73247 1.93429 -0.95139 -0.178243 -0.11407
2.74104 1.94286 -0.952922 -0.179238 -0.117971
2.74961 1.95143 -0.954463 -0.180266 -0.121872
2.75818 1.96 -0.956013 -0.181327 -0.125773
2.76675 1.96857 -0.957571 -0.182422 -0.129674
2.77532 1.97714 -0.95914 -0.18355 -0.133575
2.78389 1.98571 -0.960718 -0.184712 -0.137476
2.79247 1.99429 -0.962306 -0.185907 -0.141377
2.80104 2.00286 -0.963905 -0.187132 -0.143048
2.80961 2.01143 -0.965514 -0.188346 -0.140259
2.81818 2.02 -0.967134 -0.189536 -0.137471
2.82675 2.02857 -0.968763 -0.190703 -0.134682
2.83532 2.03714 -0.970403 -0.191845 -0.131893
2.84389 2.04571 -0.972052 -0.192964 -0.129105
2.85247 2.05429 -0.973711 -0.194058 -0.126316
2.86104 2.06286 -0.975379 -0.195129 -0.123527
2.86961 2.07143 -0.977056 -0.196176 -0.120739
2.87818 2.08 -0.978742 -0.197199 -0.11795
