PBMA-051820115, 18.5.2015, 9:39
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq.[Hz]	 Temp.[°C]	 Eps'   	 Eps''  
 1.3895e+05	 4.5000e+01	 1.7452e+00	 4.0543e-02
 1.0000e+05	 4.5000e+01	 1.7531e+00	 4.4363e-02
 7.1969e+04	 4.5000e+01	 1.7619e+00	 4.8719e-02
 5.1795e+04	 4.5000e+01	 1.7715e+00	 5.3740e-02
 3.7276e+04	 4.5000e+01	 1.7820e+00	 5.9481e-02
 2.6827e+04	 4.5000e+01	 1.7939e+00	 6.6010e-02
 1.9307e+04	 4.5000e+01	 1.8071e+00	 7.3371e-02
 1.3895e+04	 4.5000e+01	 1.8219e+00	 8.1604e-02
 1.0000e+04	 4.5000e+01	 1.8385e+00	 9.0755e-02
 7.1969e+03	 4.5000e+01	 1.8572e+00	 1.0082e-01
 5.1795e+03	 4.5000e+01	 1.8781e+00	 1.1178e-01
 3.7276e+03	 4.5000e+01	 1.9014e+00	 1.2359e-01
 2.6827e+03	 4.5000e+01	 1.9277e+00	 1.3613e-01
 1.9307e+03	 4.5000e+01	 1.9570e+00	 1.4920e-01
 1.3895e+03	 4.5000e+01	 1.9895e+00	 1.6261e-01
 1.0000e+03	 4.5000e+01	 2.0257e+00	 1.7609e-01
 7.1969e+02	 4.5000e+01	 2.0648e+00	 1.8918e-01
 5.1795e+02	 4.5000e+01	 2.1071e+00	 2.0151e-01
 3.7276e+02	 4.5000e+01	 2.1526e+00	 2.1268e-01
 2.6827e+02	 4.5000e+01	 2.2009e+00	 2.2217e-01
 1.9307e+02	 4.5000e+01	 2.2514e+00	 2.2963e-01
 1.3895e+02	 4.5000e+01	 2.3035e+00	 2.3468e-01
 1.0000e+02	 4.5000e+01	 2.3569e+00	 2.3720e-01
 7.1969e+01	 4.5000e+01	 2.4105e+00	 2.3699e-01
 5.1795e+01	 4.5000e+01	 2.4636e+00	 2.3413e-01
 3.7276e+01	 4.5000e+01	 2.5155e+00	 2.2879e-01
 2.6827e+01	 4.5000e+01	 2.5656e+00	 2.2122e-01
 1.9307e+01	 4.5000e+01	 2.6133e+00	 2.1178e-01
 1.3895e+01	 4.5000e+01	 2.6583e+00	 2.0090e-01
